,/
Tallinn,/weather/estonia/tallinn
Cape Town,/weather/south-africa/cape-town
Los Angeles,/weather/usa/los-angeles
Tashkent,/weather/uzbekistan/tashkent
Caracas,/weather/venezuela/caracas
Madrid,/weather/spain/madrid
Tegucigalpa,/weather/honduras/tegucigalpa
Casablanca,/weather/morocco/casablanca
Managua,/weather/nicaragua/managua
Tehran,/weather/iran/tehran
Chicago,/weather/usa/chicago
Manila,/weather/philippines/manila
Tokyo,/weather/japan/tokyo
Copenhagen,/weather/denmark/copenhagen
Melbourne,/weather/australia/melbourne
Toronto,/weather/canada/toronto
Dallas,/weather/usa/dallas
Mexico City,/weather/mexico/mexico-city
Vancouver,/weather/canada/vancouver
Dar es Salaam,/weather/tanzania/dar-es-salaam
Miami,/weather/usa/miami
Vienna,/weather/austria/vienna
Darwin,/weather/australia/darwin
Minneapolis,/weather/usa/minneapolis
Warsaw,/weather/poland/warsaw
Denver,/weather/usa/denver
Minsk,/weather/belarus/minsk
Washington DC,/weather/usa/washington-dc
Detroit,/weather/usa/detroit
Montevideo,/weather/uruguay/montevideo
Winnipeg,/weather/canada/winnipeg
Dhaka,/weather/bangladesh/dhaka
Montréal,/weather/canada/montreal
Yangon,/weather/myanmar/yangon
Doha,/weather/qatar/doha
Moscow,/weather/russia/moscow
Zagreb,/weather/croatia/zagreb
Dubai,/weather/united-arab-emirates/dubai
Mumbai,/weather/india/mumbai
Zürich,/weather/switzerland/zurich
Daylight Saving Time,/time/dst/
Coordinated Universal Time,/time/aboututc.html
Greenwich Mean Time,/time/gmt-utc-time.html
Great Britain/United Kingdom is one hour ahead of UTC during summer.,/time/united-kingdom-bst.html
Weather words and terminology,/weather/glossary.html
About the Temperature Readings,/weather/daily-temperature-readings.html
Accuracy of Weather Forecasts,/weather/forecast-accuracy-time.html
Frequency of Weather Reports,/weather/report-frequency.html
Time Zone Map,/time/map/
Personal World Clock,/worldclock/personal.html
Time Zone Converter,/worldclock/converter.html
Meeting Planner,/worldclock/meeting.html
Event Time Announcer,/worldclock/fixedform.html
,#
"
",#
"Contact Us 
",/information/feedback.html
"

",/services/supporter.html
"
  Love Our Site? Become a Supporter
  ",/services/supporter.html
,/
© Time and Date AS 1995–2023,/information/copyright.html
About us,/company/
Careers/Jobs,/company/jobs
Contact Us,/information/feedback.html
Contact Details,/information/contact.html
Sitemap,/sitemap.html
Newsletter,/newsletter/
Link policy,/information/copyright.html
Advertising,/information/advertising.html
Disclaimer,/information/disclaimer.html
Terms & Conditions,/information/terms-conditions.html
Privacy Policy,/information/privacy.html
My Privacy,/custom/privacy.html
World Clock,/worldclock/
Time Zones,/time/
Calendar,/calendar/
Weather,/weather/
Sun & Moon,/astronomy/
Timers,/counters/
Calculators,/date/
API,/services/api/
timeanddate.no,https://www.timeanddate.no
timeanddate.de,https://www.timeanddate.de
,https://www.facebook.com/timeanddate/
,https://twitter.com/timeanddate
,https://www.linkedin.com/company/time-and-date-as/about/
,https://www.instagram.com/timeanddatecom/
,https://www.youtube.com/c/timeanddate
Privacy & Terms,/information/copyright.html
